,Current epoch time,Current epoch time.1,Open,High,Low,Close,volume,Date,Time,EMA_fast,EMA_slow,RSI,TR,ATR,Upper_band,Lower_band,Buy_Signal,Sell_Signal,Returns
41,2023-10-03 09:56:00+05:30,1696307160,40.85,41.95,40.45,41.35,631700,2023-10-03,09:56:00,,,45.476190476190474,1.5,2.7321428571428568,33.75357142857143,48.64642857142857,0,0,0.0
42,2023-10-03 09:57:00+05:30,1696307220,41.35,43.1,40.8,41.35,503100,2023-10-03,09:57:00,,,41.730279898218825,2.3000000000000043,2.792857142857143,34.721428571428575,49.17857142857143,0,0,0.0
43,2023-10-03 09:58:00+05:30,1696307280,41.25,42.6,41.25,41.35,276850,2023-10-03,09:58:00,,,23.411371237458198,1.3500000000000014,2.507142857142857,35.07857142857143,48.77142857142857,0,0,0.0
44,2023-10-03 09:59:00+05:30,1696307340,41.15,42.3,40.55,40.6,360800,2023-10-03,09:59:00,,,28.80658436213993,1.75,2.3285714285714287,35.31428571428571,47.535714285714285,0,0,0.0
45,2023-10-03 10:00:00+05:30,1696307400,40.75,41.65,37.6,37.9,987550,2023-10-03,10:00:00,,,21.453287197231845,4.049999999999997,2.3642857142857143,34.55714285714286,44.69285714285714,0,0,0.0
46,2023-10-03 10:01:00+05:30,1696307460,38.2,39.05,37.8,37.8,899000,2023-10-03,10:01:00,,,24.603174603174594,1.25,2.275,32.224999999999994,44.625,0,0,0.0
47,2023-10-03 10:02:00+05:30,1696307520,37.15,38.35,37.05,38.15,853900,2023-10-03,10:02:00,,,17.03056768558953,1.3000000000000043,2.164285714285715,31.857142857142854,43.542857142857144,0,0,0.0
48,2023-10-03 10:03:00+05:30,1696307580,38.3,38.65,36.35,37.2,856650,2023-10-03,10:03:00,,,17.972350230414776,2.299999999999997,2.1857142857142864,32.09285714285714,42.90714285714286,0,0,0.0
49,2023-10-03 10:04:00+05:30,1696307640,37.0,37.75,36.9,37.45,397850,2023-10-03,10:04:00,46.52,,16.431924882629104,0.8500000000000014,2.1285714285714294,31.364285714285714,43.285714285714285,0,0,0.0
50,2023-10-03 10:05:00+05:30,1696307700,37.2,37.55,36.05,36.65,521900,2023-10-03,10:05:00,46.102,,15.28384279475982,1.5,2.096428571428572,31.26071428571428,42.339285714285715,0,0,0.0
51,2023-10-03 10:06:00+05:30,1696307760,36.5,38.0,36.3,37.5,756000,2023-10-03,10:06:00,45.78,,23.111111111111114,1.7000000000000028,1.989285714285715,32.03214285714286,42.26785714285714,0,0,0.0
52,2023-10-03 10:07:00+05:30,1696307820,37.6,38.8,37.5,38.6,537600,2023-10-03,10:07:00,45.479,,30.45267489711935,1.2999999999999972,1.9750000000000003,32.875,43.425,0,0,0.0
53,2023-10-03 10:08:00+05:30,1696307880,38.3,38.5,37.55,38.1,392800,2023-10-03,10:08:00,45.17099999999999,,38.94736842105263,1.0500000000000043,1.7535714285714294,33.239285714285714,42.81071428571428,0,0,0.0
54,2023-10-03 10:09:00+05:30,1696307940,38.05,38.1,37.0,37.75,286700,2023-10-03,10:09:00,44.861,,34.57446808510642,1.1000000000000014,1.664285714285715,33.107142857142854,41.99285714285715,0,0,0.0
55,2023-10-03 10:10:00+05:30,1696308000,37.85,37.9,37.05,37.9,565250,2023-10-03,10:10:00,44.56,,30.508474576271183,0.8500000000000014,1.6178571428571438,33.046428571428564,41.903571428571425,0,0,0.0
56,2023-10-03 10:11:00+05:30,1696308060,37.9,40.05,37.55,39.3,878900,2023-10-03,10:11:00,44.25900000000001,,39.99999999999999,2.5,1.6321428571428578,35.153571428571425,42.44642857142857,0,0,0.0
57,2023-10-03 10:12:00+05:30,1696308120,39.0,40.45,39.0,39.7,691750,2023-10-03,10:12:00,43.963,,42.25352112676058,1.4500000000000028,1.639285714285715,35.53214285714286,43.917857142857144,0,0,0.0
58,2023-10-03 10:13:00+05:30,1696308180,39.45,40.05,38.2,38.2,403250,2023-10-03,10:13:00,43.675,,39.47368421052634,1.8499999999999943,1.6464285714285718,35.11071428571428,43.13928571428572,0,0,0.0
59,2023-10-03 10:14:00+05:30,1696308240,38.2,38.8,37.65,38.3,265950,2023-10-03,10:14:00,43.398,,52.272727272727266,1.1499999999999986,1.4392857142857147,34.482142857142854,41.96785714285714,0,0,0.0
60,2023-10-03 10:15:00+05:30,1696308300,38.5,41.0,37.7,40.5,423900,2023-10-03,10:15:00,43.193999999999996,,62.38532110091744,3.299999999999997,1.5857142857142859,36.24285714285714,42.45714285714286,0,0,0.0
61,2023-10-03 10:16:00+05:30,1696308360,40.6,40.6,39.25,40.35,354450,2023-10-03,10:16:00,43.005,,60.28037383177571,1.3500000000000014,1.5892857142857142,35.832142857142856,44.01785714285714,0,0,0.0
62,2023-10-03 10:17:00+05:30,1696308420,40.55,42.25,40.35,42.0,676700,2023-10-03,10:17:00,42.802,,71.05263157894734,1.8999999999999986,1.5607142857142857,37.56785714285714,45.03214285714286,0,0,0.0
63,2023-10-03 10:18:00+05:30,1696308480,42.2,45.0,42.2,44.8,979050,2023-10-03,10:18:00,42.641000000000005,,76.34408602150535,3.0,1.7142857142857142,39.85714285714286,47.34285714285714,0,0,0.0
64,2023-10-03 10:19:00+05:30,1696308540,45.2,46.5,43.2,43.55,1126200,2023-10-03,10:19:00,42.483999999999995,,73.95833333333333,3.299999999999997,1.8428571428571427,40.971428571428575,48.72857142857143,0,0,0.0
65,2023-10-03 10:20:00+05:30,1696308600,43.8,44.35,42.05,43.7,645950,2023-10-03,10:20:00,42.34400000000001,,72.62773722627738,2.3000000000000043,1.8857142857142857,38.69285714285714,47.707142857142856,0,0,0.0
66,2023-10-03 10:21:00+05:30,1696308660,43.55,44.2,42.5,43.0,436850,2023-10-03,10:21:00,42.20400000000001,,66.54135338345864,1.7000000000000028,1.9142857142857146,38.457142857142856,48.24285714285715,0,0,0.0
67,2023-10-03 10:22:00+05:30,1696308720,42.65,43.2,41.35,42.35,463400,2023-10-03,10:22:00,42.04600000000001,,65.79925650557621,1.8500000000000014,1.9714285714285715,37.28571428571429,47.26428571428572,0,0,0.0
68,2023-10-03 10:23:00+05:30,1696308780,42.1,42.65,40.2,42.3,491950,2023-10-03,10:23:00,41.909000000000006,,67.30038022813687,2.4499999999999957,2.0678571428571426,36.44642857142857,46.40357142857143,0,0,0.0
69,2023-10-03 10:24:00+05:30,1696308840,42.65,44.25,41.95,44.25,471100,2023-10-03,10:24:00,41.87700000000001,,71.23745819397993,2.299999999999997,2.171428571428571,37.73571428571429,48.464285714285715,0,0,0.0
70,2023-10-03 10:25:00+05:30,1696308900,43.75,45.25,43.75,45.0,470700,2023-10-03,10:25:00,41.854000000000006,,69.93006993006992,1.5,2.099999999999999,38.95,50.05,0,0,0.0
71,2023-10-03 10:26:00+05:30,1696308960,44.9,48.1,44.05,47.0,915200,2023-10-03,10:26:00,41.863,,72.95597484276728,4.050000000000004,2.285714285714285,41.24285714285715,50.90714285714285,0,0,0.0
72,2023-10-03 10:27:00+05:30,1696309020,47.6,49.4,46.2,46.5,1108550,2023-10-03,10:27:00,41.874,,77.85234899328856,3.1999999999999957,2.3821428571428567,42.253571428571426,53.346428571428575,0,0,0.0
73,2023-10-03 10:28:00+05:30,1696309080,46.65,47.55,45.75,47.55,474900,2023-10-03,10:28:00,41.917,,79.17981072555203,1.7999999999999972,2.428571428571428,40.26428571428571,53.035714285714285,0,0,0.0
74,2023-10-03 10:29:00+05:30,1696309140,47.7,48.7,47.6,48.5,625200,2023-10-03,10:29:00,42.027,,77.39726027397259,1.1500000000000057,2.275,41.875,54.425,0,0,0.0
75,2023-10-03 10:30:00+05:30,1696309200,48.3,48.7,46.75,48.4,520450,2023-10-03,10:30:00,42.163999999999994,,77.6632302405498,1.9500000000000028,2.317857142857143,41.746428571428574,53.70357142857143,0,0,0.0
76,2023-10-03 10:31:00+05:30,1696309260,48.5,49.2,45.35,46.2,626400,2023-10-03,10:31:00,42.22299999999999,,63.907284768211916,3.8500000000000014,2.4571428571428577,41.82857142857143,52.721428571428575,0,0,0.0
77,2023-10-03 10:32:00+05:30,1696309320,46.55,48.4,46.55,47.4,412300,2023-10-03,10:32:00,42.306,,59.629629629629626,2.1999999999999957,2.4,41.2,53.75,0,0,0.0
78,2023-10-03 10:33:00+05:30,1696309380,47.5,48.0,46.6,47.4,288450,2023-10-03,10:33:00,42.361999999999995,,65.71428571428571,1.3999999999999986,2.2642857142857147,41.207142857142856,53.392857142857146,0,0,0.0
79,2023-10-03 10:34:00+05:30,1696309440,47.5,47.5,44.2,44.35,514700,2023-10-03,10:34:00,42.263000000000005,,52.14521452145215,3.299999999999997,2.3357142857142854,40.49285714285715,51.207142857142856,0,0,0.0
80,2023-10-03 10:35:00+05:30,1696309500,44.6,46.5,44.35,45.45,341850,2023-10-03,10:35:00,42.257000000000005,,57.877813504823166,2.1499999999999986,2.3678571428571424,39.39642857142857,51.45357142857143,0,0,0.0
81,2023-10-03 10:36:00+05:30,1696309560,45.5,45.55,39.95,39.95,1078350,2023-10-03,10:36:00,42.133,,44.117647058823536,5.599999999999994,2.635714285714285,37.64285714285714,47.85714285714286,0,0,0.0
82,2023-10-03 10:37:00+05:30,1696309620,40.1,41.2,38.6,39.55,708400,2023-10-03,10:37:00,42.04,,43.373493975903614,2.6000000000000014,2.646428571428571,33.260714285714286,46.53928571428571,0,0,0.0
83,2023-10-03 10:38:00+05:30,1696309680,39.6,41.35,39.55,41.35,315300,2023-10-03,10:38:00,41.953,,42.96116504854369,1.8000000000000043,2.6107142857142853,33.517857142857146,47.38214285714285,0,0,0.0
84,2023-10-03 10:39:00+05:30,1696309740,41.3,43.25,40.6,43.25,419550,2023-10-03,10:39:00,41.935,,45.97701149425287,2.6499999999999986,2.6928571428571426,35.17142857142857,48.67857142857143,0,0,0.0
