,Timestamp,Open,High,Low,Close,Volume,Timestamp2,HMA,TEMA,TilsonT3,SecondTilsonT3,col,col2
84,1704774600,21625.5,21643.95,21625.5,21635.0,0,2024-01-09 10:00:00+05:30,21658.073939393944,21641.06456738838,21567.675886459376,21591.15091391507,lime,lime
85,1704774900,21634.5,21649.65,21634.2,21640.4,0,2024-01-09 10:05:00+05:30,21655.967852813854,21646.166512007745,21570.438237530518,21590.3216556091,lime,lime
86,1704775200,21639.4,21658.95,21639.45,21657.3,0,2024-01-09 10:10:00+05:30,21654.786904761906,21654.35491566959,21573.455095821784,21589.663073964097,lime,lime
87,1704775500,21657.2,21674.2,21653.9,21673.3,0,2024-01-09 10:15:00+05:30,21656.477341991344,21664.820365005005,21576.752449171083,21589.183628177492,lime,lime
88,1704775800,21673.1,21695.4,21673.1,21689.4,0,2024-01-09 10:20:00+05:30,21662.283593073593,21677.14656882826,21580.367806803322,21588.893879783947,lime,lime
89,1704776100,21689.7,21692.05,21680.5,21686.3,0,2024-01-09 10:25:00+05:30,21670.29269264069,21685.97781080926,21584.288746846283,21588.798215780578,lime,lime
90,1704776400,21685.9,21691.0,21682.45,21686.0,0,2024-01-09 10:30:00+05:30,21678.734190476192,21692.643029804647,21588.478915054675,21588.89707298248,lime,lime
91,1704776700,21686.2,21693.45,21684.45,21689.1,0,2024-01-09 10:35:00+05:30,21686.444268398267,21698.402635196777,21592.89760528304,21589.18900721798,lime,lime
92,1704777000,21688.3,21710.1,21687.85,21707.8,0,2024-01-09 10:40:00+05:30,21694.780458874455,21707.461831166725,21597.547033124036,21589.67720649063,lime,lime
93,1704777300,21707.6,21710.35,21691.6,21692.1,0,2024-01-09 10:45:00+05:30,21701.20081385281,21710.288549744928,21602.35855756159,21590.35478328404,lime,lime
94,1704777600,21692.2,21694.55,21687.4,21691.8,0,2024-01-09 10:50:00+05:30,21705.599718614718,21712.00571466667,21607.265424440884,21591.212963639264,lime,lime
95,1704777900,21691.3,21691.35,21675.95,21680.1,0,2024-01-09 10:55:00+05:30,21706.8253073593,21709.87546298453,21612.17317481365,21592.237015384948,lime,lime
96,1704778200,21680.2,21686.1,21677.2,21682.9,0,2024-01-09 11:00:00+05:30,21705.55948484848,21708.386924422695,21617.015905893993,21593.41337077073,lime,lime
97,1704778500,21683.0,21709.85,21683.0,21708.9,0,2024-01-09 11:05:00+05:30,21705.57390909091,21713.47824872637,21621.81519329766,21594.738733676008,lime,lime
98,1704778800,21708.4,21712.55,21695.4,21695.8,0,2024-01-09 11:10:00+05:30,21705.060584415583,21713.830441280654,21626.536442039163,21596.202477371837,lime,lime
99,1704779100,21694.9,21699.5,21682.35,21682.6,0,2024-01-09 11:15:00+05:30,21702.93861038961,21710.28836046898,21631.111250960577,21597.78820711876,lime,lime
100,1704779400,21683.3,21689.05,21676.0,21682.7,0,2024-01-09 11:20:00+05:30,21699.61314718615,21707.04160447869,21635.49151839939,21599.480411205295,lime,lime
101,1704779700,21684.5,21691.0,21679.2,21686.8,0,2024-01-09 11:25:00+05:30,21695.87095670996,21705.115303571834,21639.656481759044,21601.26606220848,lime,lime
102,1704780000,21687.6,21701.65,21687.55,21698.3,0,2024-01-09 11:30:00+05:30,21693.71508225108,21706.22404056615,21643.625376908585,21603.137206779404,lime,lime
103,1704780300,21699.2,21702.1,21693.6,21697.7,0,2024-01-09 11:35:00+05:30,21693.18154978355,21706.700240114078,21647.408090479566,21605.08522273149,lime,lime
104,1704780600,21698.6,21701.15,21692.55,21695.2,0,2024-01-09 11:40:00+05:30,21693.456861471863,21706.17996418861,21651.003198235234,21607.1003038632,lime,lime
105,1704780900,21696.8,21713.4,21694.3,21705.6,0,2024-01-09 11:45:00+05:30,21695.21462770563,21708.207568635982,21654.439199003715,21609.176938844244,lime,lime
